id;calories_kcal;protein_g;carbs_g;fat_g;workout_type;workout_intensity;source;created_at;meal_plan_json;workout_plan_json;week_start_date;profile_id
1;2668;418.46;826.87;564.15;CARDIO_MIX;0.1;meanwhile excepting vengeful;2025-11-29T03:35:49;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;1
2;3451;272.25;472.72;507.84;CARDIO_MIX;0.68;clonk;2025-11-29T12:44:40;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
3;5384;433.17;182.83;635.48;UPPER_LOWER;0.26;so lest promptly;2025-11-29T01:55:28;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
4;4239;83.97;43.84;509.18;CARDIO_MIX;0.62;yippee;2025-11-29T08:31:09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
5;1577;183.62;34.14;611.18;FBW;0.25;epic;2025-11-28T21:27:45;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
6;3500;307.48;640.56;656.95;FBW;0.08;anenst lanky declaration;2025-11-28T22:25:05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
7;158;283.43;405.29;338.35;CARDIO_MIX;0.48;institute;2025-11-29T00:11:52;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-28;2
8;515;159.06;445.65;821.16;PPL;0.1;anti;2025-11-29T03:06:54;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;1
9;839;228.8;57.02;375.91;FBW;0.34;youthfully yet;2025-11-29T06:48:48;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
10;230;447.66;8.57;307.02;PPL;0.82;solidly regarding morbidity;2025-11-28T20:16:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-11-29;2
