id;log_date;weight_kg;completed_workout;calories_intake;steps;notes;created_at;profile_id
1;2025-11-29;26418.32;false;3805;210277;rewrite;2025-11-29T03:30:30;1
2;2025-11-29;20974.01;true;11960;136046;resource ack internalize;2025-11-29T16:32:11;2
3;2025-11-29;5296.75;true;13489;137788;why behind;2025-11-29T18:18:21;2
4;2025-11-29;32385.4;false;10725;122432;tightly meh minus;2025-11-29T00:27:59;1
5;2025-11-29;26006.52;true;988;149266;before ah;2025-11-29T17:38:08;2
6;2025-11-29;1659.24;false;13497;115097;amongst until;2025-11-29T11:32:33;1
7;2025-11-29;22718.36;true;10617;243053;prestigious essay;2025-11-29T18:55:19;2
8;2025-11-29;28539.99;false;4589;195783;lively drab;2025-11-29T05:14:26;1
9;2025-11-29;22019.9;false;10850;248539;than attribute although;2025-11-29T11:49:33;2
10;2025-11-28;25961.61;true;2688;187857;consequently requirement;2025-11-29T01:43:36;1
